Parameters for this run: 
MM = 256.000000 
t_end = 1.000000 
factor = 0.960000 
dtout = 1.000000 
D = 0.100000 
a = 0.000000 
b = 1.000000 
 
Number of workers = 8
 
# U, u_exact, error at time = 1.000048828125
1.364305459633034234e-01 1.364294842910018790e-01 1.061672301544414054e-06
1.341461333169645387e-01 1.341451291454270889e-01 1.004171537449805029e-06
1.318914143331215982e-01 1.318904671221033942e-01 9.472110182040527349e-07
1.296661728290255389e-01 1.296652820211242618e-01 8.908079012770464544e-07
1.274701909799049737e-01 1.274693560011276317e-01 8.349787773420658255e-07
1.253032493900096966e-01 1.253024696503440838e-01 7.797396656128441350e-07
1.231651271631955397e-01 1.231644020571878162e-01 7.251060077234638968e-07
1.210556019730314459e-01 1.210549308803681168e-01 6.710926633290981158e-07
1.189744501324071640e-01 1.189738324185033447e-01 6.177139038193724119e-07
1.169214466626231769e-01 1.169208816792131067e-01 5.649834100701633943e-07
1.148963653619422681e-01 1.148958524476757503e-01 5.129142665177832683e-07
1.128989788735852984e-01 1.128985173546250831e-01 4.615189602152902637e-07
1.109290587531519684e-01 1.109286479437777695e-01 4.108093741989060632e-07
1.089863755354495561e-01 1.089860147386627620e-01 3.607967867941264117e-07
1.070706988007120303e-01 1.070703873088431068e-01 3.114918689234302818e-07
1.051817972401929702e-01 1.051815343355121390e-01 2.629046808311219507e-07
1.033194387211163329e-01 1.033192236764453042e-01 2.150446710286191276e-07
1.014833903509690660e-01 1.014832224302945063e-01 1.679206745597294770e-07
9.967341854112067578e-02 9.967329700020888250e-02 1.215409117932830796e-07
9.788928906975516431e-02 9.788921315676823998e-02 7.591298692433134931e-08
9.613076714410104251e-02 9.613073610021249937e-02 3.104388854313633317e-08
9.439761746194605396e-02 9.439763052195726534e-02 1.306001121137434495e-08
9.268960427242343980e-02 9.268966066538064652e-02 5.639295720671899659e-08
9.100649143605726854e-02 9.100659038586611516e-02 9.894980884661563891e-08
8.934804248405471550e-02 8.934818321009763142e-02 1.407260429159284953e-07
8.771402067683405079e-02 8.771420239458205259e-02 1.817177480017972968e-07
8.610418906177680354e-02 8.610441098340415600e-02 2.219216273524615701e-07
8.451831053019449869e-02 8.451857186518840770e-02 2.613349939090126028e-07
8.295614787349896158e-02 8.295644782926980820e-02 2.999557708466271677e-07
8.141746383856768299e-02 8.141780162105549667e-02 3.377824878136870268e-07
7.990202118229468298e-02 7.990239599657389391e-02 3.748142792109332433e-07
7.840958272531865780e-02 7.840999377619928268e-02 4.110508806248747149e-07
7.693991140492054126e-02 7.694035789754638532e-02 4.464926258440637952e-07
7.549277032708279211e-02 7.549325146752738913e-02 4.811404445970168808e-07
7.406792281770376019e-02 7.406843781356053924e-02 5.149958567790546837e-07
7.266513247296040034e-02 7.266568053393152038e-02 5.480609711200346013e-07
7.128416320881357515e-02 7.128474354729197326e-02 5.803384783981124784e-07
6.992477930965022848e-02 6.992539114129892042e-02 6.118316486919406216e-07
6.858674547605771166e-02 6.858738802038333304e-02 6.425443256213858589e-07
6.726982687172533559e-02 6.727049935264806102e-02 6.724809227254269217e-07
6.597378916946951277e-02 6.597449081588580011e-02 7.016464162873381483e-07
6.469839859637842305e-02 6.469912864271998298e-02 7.300463415599312000e-07
6.344342197807345540e-02 6.344417966486037841e-02 7.576867869230063945e-07
6.220862678208435165e-02 6.220941135647006792e-02 7.845743857162745805e-07
6.099378116033615099e-02 6.099459187664979520e-02 8.107163136442108176e-07
5.979865399074574261e-02 5.979949011102536627e-02 8.361202796236533175e-07
5.862301491792701325e-02 5.862387571244764839e-02 8.607945206351441669e-07
5.746663439300328524e-02 5.746751914079661905e-02 8.847477933338065981e-07
5.632928371252673982e-02 5.633019170189679237e-02 9.079893700525420996e-07
5.521073505650461039e-02 5.521166558553192161e-02 9.305290273112221122e-07
5.411076152553243729e-02 5.411171390257429881e-02 9.523770418615185029e-07
5.302913717703502255e-02 5.303011072121677216e-02 9.735441817496082173e-07
5.196563706061629873e-02 5.196663110231525273e-02 9.940416989540068471e-07
5.092003725251936092e-02 5.092105113384015613e-02 1.013881320795217977e-06
4.989211488919873677e-02 4.989314796443999889e-02 1.033075241262115807e-06
4.888164820000688582e-02 4.888269983612192338e-02 1.051636115037557495e-06
4.788841653899771761e-02 4.788948611604382233e-02 1.069577046104719376e-06
4.691220041584989037e-02 4.691328732743116348e-02 1.086911581273108940e-06
4.595278152591326937e-02 4.595388517961318531e-02 1.103653699915940756e-06
4.500994277938217408e-02 4.501106259718790081e-02 1.119817805726730509e-06
4.408346832959930683e-02 4.408460374831668638e-02 1.135418717379543807e-06
4.317314360049474137e-02 4.317429407215467307e-02 1.150471659931706636e-06
